component,kind,time,P,Q,T,U,d,fill_level,h,m,m_l,m_v,s
gn2_supply_4500psi,Node,19.4,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.5,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.5,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.6,29971668.821701195,,290.3771010960401,888398.2946617468,305.45380702341004,0.0,259702.54032604903,5.49816852642138,0.0,5.49816852642138,4966.16860027756
gn2_supply_4500psi,Node,19.6,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,19.7,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,19.7,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,19.8,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,19.8,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,19.9,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,19.9,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
gn2_supply_4500psi,Node,20.0,29936430.897410233,,290.2831704180968,887686.6579379288,305.30157372797976,0.0,259587.12027150858,5.495428327103635,0.0,5.495428327103635,4966.168501179328
kerosene_tank_500psi,Tank,0.0,3541039.321575402,,293.1659681082856,-4897846.115829227,751.8645411839353,0.8063287557694353,-500222.9120148929,9.7,9.7,0.0,-1302.3904920083116
kerosene_tank_500psi,Tank,0.1,3533231.922047862,,293.1646375463775,-4897846.115829227,751.8600645084612,0.8063335567587889,-500233.2680853886,9.7,9.7,0.0,-1302.3903964610777
kerosene_tank_500psi,Tank,0.1,3525463.004941698,,293.16331345014225,-4897846.115829227,751.8556096407493,0.806338334417266,-500243.57323195256,9.7,9.7,0.0,-1302.3903015870894
kerosene_tank_500psi,Tank,0.2,3517714.004421351,,293.16199265634,-4897846.115829227,751.8511659376013,0.806343100158622,-500253.8520800476,9.7,9.7,0.0,-1302.3902071573746
kerosene_tank_500psi,Tank,0.2,3509984.9465111243,,293.16067517010356,-4897846.115829227,751.8467334158739,0.8063478539643543,-500264.10459424165,9.7,9.7,0.0,-1302.3901131707285
kerosene_tank_500psi,Tank,0.2,3502275.770809715,,293.15936098183136,-4897846.115829227,751.8423120428541,0.8063525958691248,-500274.330853746,9.7,9.7,0.0,-1302.390019624909
kerosene_tank_500psi,Tank,0.3,3494586.4175310796,,293.1580500820228,-4897846.115829227,751.8379017861699,0.8063573259072317,-500284.5309369623,9.7,9.7,0.0,-1302.3899265176806
