component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
gn2_tank,Node,2.0,,,29615775.69939781,,289.42459651141115,881193.851621118,,303.90931444771553,0.0,258534.32567935012,5.470367660058879,0.0,5.470367660058879,,,4966.168179434484,
gn2_tank,Node,2.1,,,29615775.69939781,,289.42459651141115,881193.851621118,,303.90931444771553,0.0,258534.32567935012,5.470367660058879,0.0,5.470367660058879,,,4966.168179434484,
gn2_tank,Node,2.1,,,29615775.69939781,,289.42459651141115,881193.851621118,,303.90931444771553,0.0,258534.32567935012,5.470367660058879,0.0,5.470367660058879,,,4966.168179434484,
gn2_tank,Node,2.1,,,29615775.69939781,,289.42459651141115,881193.851621118,,303.90931444771553,0.0,258534.32567935012,5.470367660058879,0.0,5.470367660058879,,,4966.168179434484,
gn2_tank,Node,2.1,,,29615775.69939781,,289.42459651141115,881193.851621118,,303.90931444771553,0.0,258534.32567935012,5.470367660058879,0.0,5.470367660058879,,,4966.168179434484,
gn2_tank,Node,2.1,,,29615775.69939781,,289.42459651141115,881193.851621118,,303.90931444771553,0.0,258534.32567935012,5.470367660058879,0.0,5.470367660058879,,,4966.168179434484,
gn2_tank,Node,2.2,,,29588171.7619576,,289.35034416457086,880633.4188121312,,303.78888496132913,0.0,258443.46015132562,5.468199929303924,0.0,5.468199929303924,,,4966.168117205682,
gn2_tank,Node,2.2,,,29546839.239437204,,289.23905324206703,879793.7997842876,,303.6083986703642,0.0,258307.32253885834,5.464951176066554,0.0,5.464951176066554,,,4966.167977359811,
gn2_tank,Node,2.2,,,29505608.529377874,,289.12791673117266,878955.722644159,,303.4281488785246,0.0,258171.43959519832,5.461706679813442,0.0,5.461706679813442,,,4966.167837821988,
gn2_tank,Node,2.2,,,29491895.260965534,,289.0909328544222,878676.8760177598,,303.36814425807285,0.0,258126.23620561446,5.4606265966453105,0.0,5.4606265966453105,,,4966.167822360048,
gn2_tank,Node,2.2,,,29478193.235119168,,289.05396604064356,878398.1997512775,,303.3081657954719,0.0,258081.06094364834,5.459546984318494,0.0,5.459546984318494,,,4966.167806909431,
gn2_tank,Node,2.3,,,29478193.235119168,,289.05396604064356,878398.1997512775,,303.3081657954719,0.0,258081.06094364834,5.459546984318494,0.0,5.459546984318494,,,4966.167806909431,
gn2_tank,Node,2.3,,,29478193.235119168,,289.05396604064356,878398.1997512775,,303.3081657954719,0.0,258081.06094364834,5.459546984318494,0.0,5.459546984318494,,,4966.167806909431,
gn2_tank,Node,2.3,,,29478193.235119168,,289.05396604064356,878398.1997512775,,303.3081657954719,0.0,258081.06094364834,5.459546984318494,0.0,5.459546984318494,,,4966.167806909431,
gn2_tank,Node,2.3,,,29478193.235119168,,289.05396604064356,878398.1997512775,,303.3081657954719,0.0,258081.06094364834,5.459546984318494,0.0,5.459546984318494,,,4966.167806909431,
gn2_tank,Node,2.3,,,29450815.1463708,,288.9800562353834,877841.1875978177,,303.1882611441058,0.0,257990.76032104256,5.457388700593904,0.0,5.457388700593904,,,4966.167745135949,
gn2_tank,Node,2.4,,,29423481.89675748,,288.90621457040214,877284.855393864,,303.06846094418535,0.0,257900.57195393924,5.4552322969953355,0.0,5.4552322969953355,,,4966.167683452871,
gn2_tank,Node,2.4,,,29396193.378600817,,288.8324409266353,876729.2017828227,,302.9487650287247,0.0,257810.49560669344,5.453077770517044,0.0,5.453077770517044,,,4966.167621859978,
gn2_tank,Node,2.4,,,29396193.378600817,,288.8324409266353,876729.2017828227,,302.9487650287247,0.0,257810.49560669344,5.453077770517044,0.0,5.453077770517044,,,4966.167621859978,
gn2_tank,Node,2.4,,,29396193.378600817,,288.8324409266353,876729.2017828227,,302.9487650287247,0.0,257810.49560669344,5.453077770517044,0.0,5.453077770517044,,,4966.167621859978,
gn2_tank,Node,2.4,,,29382569.692334186,,288.79559316903163,876451.7135973502,,302.888969129928,0.0,257765.51646365738,5.452001444338704,0.0,5.452001444338704,,,4966.167606488296,
gn2_tank,Node,2.5,,,29368957.14105773,,288.7587623555098,876174.394416801,,302.82919922217235,0.0,257720.56521288212,5.450925585999102,0.0,5.450925585999102,,,4966.167591127831,
gn2_tank,Node,2.5,,,29355355.711422525,,288.7219484712959,875897.2440728977,,302.7694552847212,0.0,257675.6418251439,5.449850195124981,0.0,5.449850195124981,,,4966.167575778573,
gn2_tank,Node,2.5,,,29341765.390100617,,288.68515150163364,875620.2623975966,,302.7097372968622,0.0,257630.74627126064,5.44877527134352,0.0,5.44877527134352,,,4966.167560440509,
gn2_tank,Node,2.5,,,29314610.398538377,,288.6115811674108,875066.6360485785,,302.59035317895297,0.0,257541.00450891865,5.446626357221153,0.0,5.446626357221153,,,4966.167499116843,
gn2_tank,Node,2.5,,,29287499.711159315,,288.53807838118917,874513.6829045279,,302.4710726815716,0.0,257451.37383072358,5.4444793082682885,0.0,5.4444793082682885,,,4966.167437882511,
gn2_tank,Node,2.6,,,29287499.711159315,,288.53807838118917,874513.6829045279,,302.4710726815716,0.0,257451.37383072358,5.4444793082682885,0.0,5.4444793082682885,,,4966.167437882511,
gn2_tank,Node,2.6,,,29287499.711159315,,288.53807838118917,874513.6829045279,,302.4710726815716,0.0,257451.37383072358,5.4444793082682885,0.0,5.4444793082682885,,,4966.167437882511,
gn2_tank,Node,2.6,,,29287499.711159315,,288.53807838118917,874513.6829045279,,302.4710726815716,0.0,257451.37383072358,5.4444793082682885,0.0,5.4444793082682885,,,4966.167437882511,
gn2_tank,Node,2.6,,,29287499.711159315,,288.53807838118917,874513.6829045279,,302.4710726815716,0.0,257451.37383072358,5.4444793082682885,0.0,5.4444793082682885,,,4966.167437882511,
gn2_tank,Node,2.6,,,29260433.22196866,,288.46464302538726,873961.4016276015,,302.35189563968584,0.0,257361.85400438638,5.442334121514344,0.0,5.442334121514344,,,4966.167376737303,
gn2_tank,Node,2.7,,,29233410.82530452,,288.3912749827166,873409.7908836668,,302.2328218886505,0.0,257272.44479828168,5.440190793995709,0.0,5.440190793995709,,,4966.167315681006,
gn2_tank,Node,2.7,,,29233410.82530452,,288.3912749827166,873409.7908836668,,302.2328218886505,0.0,257272.44479828168,5.440190793995709,0.0,5.440190793995709,,,4966.167315681006,
gn2_tank,Node,2.7,,,29219919.907299742,,288.3546296253551,873134.3201129779,,302.17333657642854,0.0,257227.79850963978,5.439120058375713,0.0,5.439120058375713,,,4966.1673004431095,
gn2_tank,Node,2.7,,,29206439.96544618,,288.31800103596333,872859.0163428393,,302.11387700796354,0.0,257183.17976525467,5.438049786143343,0.0,5.438049786143343,,,4966.167285216271,
gn2_tank,Node,2.7,,,29192970.986644413,,288.28138919998725,872583.8794077539,,302.054443162809,0.0,257138.58853639994,5.436979976930561,0.0,5.436979976930561,,,4966.167270000483,
gn2_tank,Node,2.8,,,29152607.14029787,,288.17157357788574,871758.9686118526,,301.876218736009,0.0,257004.87861212992,5.433771937248161,0.0,5.433771937248161,,,4966.1671330858535,
gn2_tank,Node,2.8,,,29125760.063730653,,288.09847362069377,871210.0267322528,,301.75755650962026,0.0,256915.90958388918,5.431636017173164,0.0,5.431636017173164,,,4966.167072383107,
gn2_tank,Node,2.8,,,29125760.063730653,,288.09847362069377,871210.0267322528,,301.75755650962026,0.0,256915.90958388918,5.431636017173164,0.0,5.431636017173164,,,4966.167072383107,
gn2_tank,Node,2.8,,,29125760.063730653,,288.09847362069377,871210.0267322528,,301.75755650962026,0.0,256915.90958388918,5.431636017173164,0.0,5.431636017173164,,,4966.167072383107,
gn2_tank,Node,2.8,,,29125760.063730653,,288.09847362069377,871210.0267322528,,301.75755650962026,0.0,256915.90958388918,5.431636017173164,0.0,5.431636017173164,,,4966.167072383107,
gn2_tank,Node,2.9,,,29125760.063730653,,288.09847362069377,871210.0267322528,,301.75755650962026,0.0,256915.90958388918,5.431636017173164,0.0,5.431636017173164,,,4966.167072383107,
gn2_tank,Node,2.9,,,29098956.556328457,,288.02544039456484,870661.7487701838,,301.6389967566219,0.0,256827.05002763096,5.429501941619193,0.0,5.429501941619193,,,4966.167011768227,
gn2_tank,Node,2.9,,,29072196.51439959,,287.9524737839529,870114.1334135026,,301.5205393146667,0.0,256738.2997156642,5.427369707664,0.0,5.427369707664,,,4966.166951241006,
gn2_tank,Node,2.9,,,29072196.51439959,,287.9524737839529,870114.1334135026,,301.5205393146667,0.0,256738.2997156642,5.427369707664,0.0,5.427369707664,,,4966.166951241006,
gn2_tank,Node,2.9,,,29072196.51439959,,287.9524737839529,870114.1334135026,,301.5205393146667,0.0,256738.2997156642,5.427369707664,0.0,5.427369707664,,,4966.166951241006,
gn2_tank,Node,3.0,,,29058836.486703407,,287.91602874822695,869840.6563835944,,301.4613616682265,0.0,256693.98216988612,5.426304510028077,0.0,5.426304510028077,,,4966.166936135021,
gn2_tank,Node,3.0,,,29045487.27926823,,287.87960030695854,869567.3443827208,,301.4022095216893,0.0,256649.6918262412,5.425239771390407,0.0,5.425239771390407,,,4966.166921039942,
lox_tank,Tank,0.0,,,3485383.713766214,,90.00733713771348,-2617674.871155432,,1149.4147647359796,0.8441731495678328,-131856.95774451835,19.406101642138832,19.406101642138832,0.0,,,2925.831416248419,
lox_tank,Tank,0.0,,,3453096.189933028,,90.00110397245399,-2615671.525523621,,1149.3764744137266,0.8435551925197031,-131884.94806480792,19.391249863033774,19.391249863033774,0.0,,,2925.8325334237384,
