component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
engine_block,Engine,3.6,227.70497640223346,1.811955450564832,2890228.6387980077,,3056.8355943439724,,1614.0489199818724,1.2,0.0,,0.0,,,0.2590495123751431,0.4693861759143025,,1627.1693101945555
engine_block,Engine,3.6,225.67315748514528,1.7708230649971208,2862366.2278953707,,2996.9640068693598,,1604.9079541090987,1.2,0.0,,0.0,,,0.2640017274873535,0.46750034823368997,,1619.4385585534253
engine_block,Engine,3.7,228.868060936928,1.8304477694889494,2926796.5369708906,,3080.9651170415264,,1617.6847489829431,1.2,0.0,,0.0,,,0.28204320112904724,0.5162653484061877,,1792.3589049603224
engine_block,Engine,3.7,222.6102289831778,1.6954447811597926,2893454.702952929,,2877.64254985579,,1585.2178270372892,1.2,0.0,,0.0,,,0.2765531748951193,0.46888063708910144,,1627.8830893763588
engine_block,Engine,3.8,215.89654037342112,1.5782069353607913,2865166.16263456,,2662.156843379758,,1546.0670342021306,1.2,0.0,,0.0,,,0.29471336919087354,0.465118683200582,,1609.2825426000443
engine_block,Engine,3.8,224.82065789462436,1.7331176125663406,2929164.1321180793,,2938.5929749513866,,1595.5364700159523,1.2,0.0,,0.0,,,0.29627250457671395,0.5134750958010447,,1785.8907646885616
engine_block,Engine,3.9,222.43240942931038,1.692509585583816,2890649.451878309,,2872.7063029767896,,1584.3681079693904,1.2,0.0,,0.0,,,0.2755397176112437,0.4663536132660877,,1618.857198251764
engine_block,Engine,3.9,220.51484855335653,1.6613336352044967,2862514.733592104,,2818.3195664147256,,1574.9159549401832,1.2,0.0,,0.0,,,0.28004859065615356,0.46525414314868363,,1612.2766340142014
engine_block,Engine,4.0,228.37076732345028,1.8191452275929418,2921678.5357061937,,3065.649875245321,,1615.4378459182144,1.2,0.0,,0.0,,,0.28196376939482,0.5129330454487036,,1780.821028333552
engine_block,Engine,4.0,234.41084191076405,1.987410337530542,2962701.0720562497,,3263.3965074599832,,1641.017036281426,1.2,0.0,,0.0,,,0.2618228072316511,0.5203493536934497,,1798.6599170114382
engine_block,Engine,4.0,233.51522119608742,1.9700797432988155,2928585.985862318,,3247.2544840568567,,1639.2499756094692,1.2,0.0,,0.0,,,0.2455811370364266,0.4838144234117545,,1670.8879129038864
engine_block,Engine,4.1,227.66896996380947,1.8048108186789003,2910466.9972921526,,3046.840245013726,,1612.549007722138,1.2,0.0,,0.0,,,0.26613965953572555,0.4803317368095966,,1667.1935480903176
engine_block,Engine,4.2,221.35580166750992,1.6724333081727227,2884737.8110381295,,2838.011773386771,,1578.3664811804997,1.2,0.0,,0.0,,,0.28104531211068373,0.4700295410797062,,1630.9593549170102
